id,name,
1, Aktor,
2, Dommere,
3, Forsvarer,
4, Sakkyndig,
5, Tolk,
6, Vitnestøtte,
7, Bistandsadvokat,
8, Fornæmede,
9, Etterlatte,
10, Tiltalt,
11, Siktet,
12, Vitne,
13, Journalist,
14, Tilhører,
15, Rettsbetjent,
16, Protokollfører,
17, Resepsjonist,
18, Forsker,
19, Statestikk,
